run,hla,panel,readout,top1,n_tcr
panel1,A*02:01,all,iptm_TCRpep_max,0.5208,48
panel1,A*02:01,all,iptm_TCRpep_mean,0.5,48
panel1,A*02:01,all,iptm_beta_pep,0.4792,48
panel1,A*02:01,all,iptm_alpha_pep,0.4792,48
panel1,A*02:01,all,neg_gpde_beta_pep,0.5,48
panel1,A*02:01,all,iptm_global,0.4375,48
panel1,A*02:01,all,ptm_global,0.4583,48
panel1,A*02:01,all,ranking_score,0.4375,48
panel1,A*02:01,all,iptm_groove_ctrl,0.1875,48
panel1,A*02:01,reconstructed,iptm_TCRpep_max,0.5862,29
panel1,A*02:01,reconstructed,iptm_TCRpep_mean,0.6552,29
panel1,A*02:01,reconstructed,iptm_beta_pep,0.5862,29
panel1,A*02:01,reconstructed,iptm_alpha_pep,0.6207,29
panel1,A*02:01,reconstructed,neg_gpde_beta_pep,0.5517,29
panel1,A*02:01,reconstructed,iptm_global,0.5517,29
panel1,A*02:01,reconstructed,ptm_global,0.5517,29
panel1,A*02:01,reconstructed,ranking_score,0.5517,29
panel1,A*02:01,reconstructed,iptm_groove_ctrl,0.2414,29
hla_a1101,A*11:01,all,iptm_TCRpep_max,0.5833,24
hla_a1101,A*11:01,all,iptm_TCRpep_mean,0.5417,24
hla_a1101,A*11:01,all,iptm_beta_pep,0.625,24
hla_a1101,A*11:01,all,iptm_alpha_pep,0.5,24
hla_a1101,A*11:01,all,neg_gpde_beta_pep,0.6667,24
hla_a1101,A*11:01,all,iptm_global,0.5833,24
hla_a1101,A*11:01,all,ptm_global,0.625,24
hla_a1101,A*11:01,all,ranking_score,0.5833,24
hla_a1101,A*11:01,all,iptm_groove_ctrl,0.5,24
hla_a1101,A*11:01,reconstructed,iptm_TCRpep_max,0.6111,18
hla_a1101,A*11:01,reconstructed,iptm_TCRpep_mean,0.5556,18
hla_a1101,A*11:01,reconstructed,iptm_beta_pep,0.6667,18
hla_a1101,A*11:01,reconstructed,iptm_alpha_pep,0.5,18
hla_a1101,A*11:01,reconstructed,neg_gpde_beta_pep,0.6667,18
hla_a1101,A*11:01,reconstructed,iptm_global,0.6111,18
hla_a1101,A*11:01,reconstructed,ptm_global,0.6667,18
hla_a1101,A*11:01,reconstructed,ranking_score,0.6111,18
hla_a1101,A*11:01,reconstructed,iptm_groove_ctrl,0.5556,18
